first,last,job,phone,email,client_id,order_id,order_date,order_week,order_year,item_id,category,subcategory,unit_price,unit_cost,unit_weight,qty,line_number,subtotal,SUB2,shipping_price,SP2,total_price,TP2,cost,profit
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,3/12/2023,10,2023,XDX02308-74-0X,decor,plants,136.49,90.12,7.05,40,6,5459.6,5459.6,70.5,70.5,6041.63425,6041.63425,3675.3,2366.33425
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,3/12/2023,10,2023,UUX03397-27-4C,consumables,misc,107.61,98.35,6.28,1089,9,117187.29,117187.29,62.8,62.8,128095.7233,128095.7233,107165.95,20929.77333
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,3/12/2023,10,2023,EED39742-71-4Z,consumables,kitchen supplies,78.18,42.72,0.78,44,8,3439.92,3439.92,7.8,7.8,3766.6341,3766.6341,1887.48,1879.1541
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,3/12/2023,10,2023,UXB71094-13-6M,consumables,kitchen supplies,28.12,23.64,4.6,26,2,731.12,731.12,46,46,849.0036,849.0036,660.64,188.3636
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,3/12/2023,10,2023,XDU73429-99-9D,consumables,kitchen supplies,1.63,1.14,6,45,1,73.35,73.35,60,60,145.684875,145.684875,111.3,34.384875
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,3/12/2023,10,2023,CCC03561-75-5E,furniture,tables,931.6,470.05,6.55,344,0,320470.4,320470.4,65.5,65.5,350185.4708,350185.4708,161762.7,188422.7708
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,3/12/2023,10,2023,DEC92033-19-9C,electronics,telecom,6.09,5.5,1.38,8,4,48.72,48.72,13.8,13.8,68.3031,68.3031,57.8,10.5031
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,3/12/2023,10,2023,UCM61734-47-6U,decor,plants,137.01,98.7,0.55,664,5,90974.64,90974.64,5.5,5.5,99395.80295,99395.80295,65542.3,33853.50295
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,3/12/2023,10,2023,EBB49854-54-7D,consumables,kitchen supplies,84.96,72.54,4.26,1663,7,141288.48,141288.48,42.6,42.6,154404.2049,154404.2049,120676.62,33727.5849
,,,,,,,,,,,,,,,,,,,,,,,752748.7455,,
